LAT,LON,YEAR,MO,DY,QV2M,KT,DTI,SII
28.67591,77.11321,1998,1,1,0.003275,0.56,6.98,3.26
28.67591,77.11321,1998,1,2,0.002891,0.59,6.34,3.45
28.67591,77.11321,1998,1,3,0.002866,0.61,6.75,3.59
28.67591,77.11321,1998,1,4,0.00328,0.58,6.9,3.42
28.67591,77.11321,1998,1,5,0.00366,0.6,7.05,3.54
28.67591,77.11321,1998,1,6,0.004547,0.61,7.78,3.59
28.67591,77.11321,1998,1,7,0.004929,0.51,7.88,3.04
28.67591,77.11321,1998,1,8,0.005016,0.48,7.87,2.85
28.67591,77.11321,1998,1,9,0.005312,0.57,7.82,3.38
28.67591,77.11321,1998,1,10,0.004549,0.52,8.13,3.14
28.67591,77.11321,1998,1,11,0.004495,0.55,7.99,3.3
28.67591,77.11321,1998,1,12,0.005357,0.46,8.08,2.78
28.67591,77.11321,1998,1,13,0.005792,0.72,7.54,4.39
28.67591,77.11321,1998,1,14,0.00514,0.46,8,2.8
28.67591,77.11321,1998,1,15,0.005676,0.65,7.35,3.99
28.67591,77.11321,1998,1,16,0.00323,0.75,6.48,4.6
28.67591,77.11321,1998,1,17,0.002766,0.6,6.16,3.73
28.67591,77.11321,1998,1,18,0.00265,0.7,6.17,4.39
28.67591,77.11321,1998,1,19,0.002666,0.7,6.16,4.37
28.67591,77.11321,1998,1,20,0.002623,0.74,6.06,4.64
28.67591,77.11321,1998,1,21,0.002886,0.66,6.66,4.18
28.67591,77.11321,1998,1,22,0.002581,0.55,6.94,3.48
28.67591,77.11321,1998,1,23,0.00246,0.68,6.23,4.33
28.67591,77.11321,1998,1,24,0.002858,0.7,7.01,4.51
28.67591,77.11321,1998,1,25,0.003391,0.69,6.83,4.51
28.67591,77.11321,1998,1,26,0.003056,0.72,7.03,4.71
28.67591,77.11321,1998,1,27,0.003367,0.43,8.05,2.83
28.67591,77.11321,1998,1,28,0.00484,0.45,8.41,2.97
28.67591,77.11321,1998,1,29,0.006548,0.68,7.84,4.54
28.67591,77.11321,1998,1,30,0.005714,0.48,8.45,3.22
28.67591,77.11321,1998,1,31,0.004432,0.55,8.19,3.72
28.67591,77.11321,1998,2,1,0.005934,0.34,8.44,2.33
